Location,Month,PVOUT_avg_daily,PVOUT_annual_avg_daily,GHI_annual_avg_daily,DNI_annual_avg_daily,TEMP_annual_avg
Cobar,7,4.12568998336792,4.821423530578613,5.366740703582764,6.7705183029174805,19.022457122802734
Cobar,8,4.6207661628723145,4.821423530578613,5.366740703582764,6.7705183029174805,19.022457122802734
Cobar,9,5.296183109283447,4.821423530578613,5.366740703582764,6.7705183029174805,19.022457122802734
Cobar,10,5.395773410797119,4.821423530578613,5.366740703582764,6.7705183029174805,19.022457122802734
Cobar,11,4.945764541625977,4.821423530578613,5.366740703582764,6.7705183029174805,19.022457122802734
Cobar,12,5.128152847290039,4.821423530578613,5.366740703582764,6.7705183029174805,19.022457122802734
CoffsHarbour,1,4.343243598937988,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,2,4.382051944732666,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,3,4.21646785736084,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,4,4.217933654785156,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,5,4.133472919464111,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,6,3.6245460510253906,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,7,4.171028137207031,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,8,4.73228120803833,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,9,4.860096454620361,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,10,4.682742118835449,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,11,4.395732879638672,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
CoffsHarbour,12,4.246886253356934,4.33414888381958,4.728972434997559,5.0828938484191895,18.15271759033203
Dartmoor,1,5.091845512390137,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,2,4.683510780334473,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,3,4.151314735412598,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,4,3.2712650299072266,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,5,2.5188145637512207,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,6,2.3487069606781006,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,7,2.486079692840576,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,8,2.9633255004882812,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,9,3.5722498893737793,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,10,4.156601428985596,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,11,4.3319783210754395,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Dartmoor,12,4.784323215484619,3.6926937103271484,4.014895439147949,3.880291700363159,13.859050750732422
Darwin,1,3.561795711517334,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,2,3.8826498985290527,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,3,4.288589000701904,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,4,4.910679340362549,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,5,4.937103748321533,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,6,5.0708327293396,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,7,5.208965301513672,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,8,5.48800802230835,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,9,5.3365068435668945,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,10,5.051408290863037,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,11,4.3959760665893555,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
Darwin,12,3.7761592864990234,4.661949634552002,5.7418293952941895,5.520270824432373,27.322546005249023
GoldCoast,1,4.500927925109863,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,2,4.55499267578125,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,3,4.38054895401001,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,4,4.47052526473999,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,5,4.2737956047058105,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,6,3.7542638778686523,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,7,4.3048415184021,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,8,4.85321569442749,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,9,4.938987731933594,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,10,4.879009246826172,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,11,4.767146110534668,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
GoldCoast,12,4.422273635864258,4.508301734924316,5.039303779602051,5.428553581237793,19.892566680908203
Hobart,1,4.6807475090026855,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,2,4.367349147796631,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,3,3.869400978088379,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,4,3.179206609725952,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,5,2.5338757038116455,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,6,2.3664026260375977,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,7,2.599911689758301,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,8,3.038142442703247,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,9,3.626202344894409,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,10,4.226603031158447,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,11,4.131627082824707,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Hobart,12,4.471978187561035,3.587991952896118,3.652329683303833,3.57330060005188,11.444890022277832
Katherine,1,4.054915428161621,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,2,4.34221887588501,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,3,4.760366916656494,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,4,5.251066207885742,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,5,5.182401180267334,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,6,5.263150215148926,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,7,5.422860145568848,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,8,5.696380615234375,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,9,5.484171390533447,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,10,5.186984062194824,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,11,4.6202874183654785,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
Katherine,12,4.245163440704346,4.96168327331543,6.1156005859375,6.457334518432617,26.91398048400879
